,happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
59,0.7822579748796651,50.8,7.2,5.8,239.8,76.8,69.0,94.0,0.3327945837474867
60,0.7843963520704482,49.6,6.6,6.4,238.4,78.2,67.0,93.2,0.3433210296998983
61,0.7931585824201692,47.4,9.4,9.4,238.2,79.2,67.0,92.0,0.3539366217159815
62,0.7675811457597035,54.2,6.8,6.6,238.2,79.2,69.6,89.4,0.3486846780727202
63,0.7849890009109078,50.4,8.4,8.0,238.0,78.2,68.6,91.2,0.35746782401142174
64,0.8052813874575211,45.6,7.8,9.0,237.6,75.0,71.2,91.4,0.35859148918588135
65,0.800707796995282,46.2,8.8,7.8,238.8,76.6,71.6,90.6,0.3621434438919032
66,0.795498499039913,47.2,8.6,9.6,237.8,77.2,69.4,91.2,0.347924755018031
67,0.7602033000275474,54.6,8.2,9.0,238.8,76.2,71.8,90.8,0.32848166937539053
68,0.7812013333510137,50.4,6.6,7.0,239.6,75.8,71.6,92.2,0.33100105922547174
69,0.7934669600917325,47.8,8.4,7.4,240.0,74.8,72.8,92.4,0.33147496510672747
70,0.7851120930508454,49.6,7.2,6.6,239.0,73.4,73.8,91.8,0.3322715474284858
71,0.7831838645728763,50.0,6.4,7.2,238.4,76.4,71.0,91.0,0.32972461036898626
72,0.785396666196002,49.8,5.4,6.8,239.2,76.2,71.6,91.4,0.34077049218474736
73,0.8057567599467216,44.6,6.8,9.6,240.6,76.6,70.4,93.6,0.34995038284561514
74,0.7903192185905911,48.8,8.6,8.4,243.4,80.2,71.0,92.2,0.33845952712250166
75,0.8046823216546976,45.4,8.6,8.4,243.2,79.4,71.6,92.2,0.3455246535440072
76,0.7894966787078734,49.2,7.0,7.6,243.0,79.0,70.4,93.6,0.34724729194524134
77,0.7630557746733595,55.4,9.4,7.4,243.6,80.8,69.0,93.8,0.3267912782022583
78,0.7835087080936995,50.8,8.2,9.0,241.6,78.6,69.4,93.6,0.3327080970121147
79,0.8054624838980976,46.4,9.6,8.8,242.4,80.2,71.0,91.2,0.3365364209063907
80,0.8144277204454321,44.2,6.8,7.4,241.6,80.4,73.2,88.0,0.34447595706145356
81,0.7981287662730494,47.8,7.8,6.8,242.2,78.2,73.4,90.6,0.34794180145350506
82,0.7839910337528977,49.8,6.4,7.6,241.2,78.4,73.4,89.4,0.34273474291768596
83,0.7975172613760396,46.6,6.8,8.6,242.4,80.0,71.4,91.0,0.34934453268249654
84,0.7889147148038573,49.2,7.6,6.2,244.2,79.4,71.6,93.2,0.3394329185896589
85,0.7775252525252526,52.2,5.4,7.2,242.8,80.0,69.4,93.4,0.33124257712704414
86,0.7669722241931856,54.0,8.6,9.2,244.6,78.0,69.0,97.6,0.33584071549343025
87,0.7602392992312347,54.4,10.0,8.0,245.2,76.4,70.8,98.0,0.32646387494673784
88,0.7665765277598172,53.4,7.2,9.4,243.2,78.4,69.8,95.0,0.33839177232058565
89,0.7719999550882473,53.0,9.2,9.0,245.4,79.8,70.4,95.2,0.3460977596550868
90,0.7842244167745155,50.6,5.8,9.8,245.2,80.6,72.0,92.6,0.3486897318718514
91,0.7879337460704381,50.0,6.4,8.0,249.2,80.2,75.0,94.0,0.34902888752473366
92,0.8073643561746779,45.2,9.4,10.4,250.8,81.0,75.4,94.4,0.3473685556665999
93,0.8134622687020059,43.6,6.6,7.2,251.8,80.0,77.2,94.6,0.3486848365495831
94,0.8139220541356643,43.6,8.0,9.2,252.4,77.8,78.2,96.4,0.3582747977261923
95,0.8009532301675415,46.6,9.0,8.6,253.6,76.6,80.2,96.8,0.3479014297924397
96,0.789861606998961,49.4,7.8,9.6,253.2,78.2,79.6,95.4,0.3512691770654839
97,0.7761357862735299,52.6,9.6,8.2,255.0,78.8,81.2,95.0,0.35168004539396974
98,0.7894250776426305,48.0,9.0,5.4,253.6,79.2,80.0,94.4,0.35321582749711383
99,0.7807470150714031,49.0,7.0,6.4,250.0,79.4,76.4,94.2,0.345881427821277
100,0.7781405687302649,50.2,7.4,8.2,249.4,81.8,73.0,94.6,0.34137820617263265
101,0.7680049062837697,53.0,6.6,10.4,250.2,83.0,73.2,94.0,0.336321950906726
102,0.772878548485395,53.6,7.2,8.0,254.0,85.8,73.2,95.0,0.34285358375721414
103,0.7842757101825812,51.0,6.8,9.0,254.8,84.4,74.0,96.4,0.34614677889122747
104,0.7856054933526844,50.6,9.6,10.2,257.0,87.4,73.8,95.8,0.34995609271301487
105,0.7980057217039734,47.8,8.4,9.6,257.6,88.8,75.4,93.4,0.35791294865308804
106,0.7943853165842634,48.8,8.4,9.6,258.8,89.2,75.4,94.2,0.3515708413312954
107,0.7797344382869829,53.4,7.6,8.2,260.0,89.4,76.8,93.8,0.3512565599561634
108,0.7923172026450556,49.0,7.4,7.4,260.6,85.4,79.6,95.6,0.35568325509721965
109,0.7843717804851953,49.2,9.0,9.2,260.6,82.8,80.6,97.2,0.36565528695804367
110,0.7721330338484755,53.2,8.8,7.4,260.8,81.2,81.6,98.0,0.3603480809696304
111,0.78158003236581,50.0,7.4,10.2,259.4,83.6,78.6,97.2,0.35934950972344987
112,0.7998691518160544,47.8,6.8,9.0,262.2,81.2,80.8,100.2,0.36351723506238465
113,0.8106782085286444,44.6,7.6,10.2,264.4,83.0,80.8,100.6,0.3575727326480503
114,0.8108834766041637,44.8,8.6,6.6,267.0,84.0,80.8,102.2,0.3542340238662121
115,0.7668044632360801,54.6,6.2,8.6,265.0,85.0,77.8,102.2,0.3447638947468784
116,0.7804161137721162,51.6,7.2,8.2,267.4,85.0,76.8,105.6,0.3540135781657071
117,0.7998884464968137,48.0,9.2,8.4,268.4,85.0,76.8,106.6,0.3686731835958107
118,0.809678314192238,44.8,8.0,9.4,267.6,87.0,77.8,102.8,0.3775674585405674
119,0.8074111461393839,47.0,9.4,8.0,269.0,89.8,78.0,101.2,0.3711958815738009
120,0.8218988983391327,42.2,9.0,9.2,267.6,89.0,78.6,100.0,0.37558661720068415
121,0.8290588919243629,40.8,9.8,8.0,267.8,88.8,77.6,101.4,0.373266299430954
122,0.8064205618512641,46.6,8.0,8.8,266.0,89.8,76.6,99.6,0.35434604925226415
123,0.8049678125667754,47.0,10.4,11.2,266.8,91.0,75.2,100.6,0.35478290265222057
124,0.794733599994377,48.8,7.2,9.0,267.6,87.4,79.8,100.4,0.3579021054934447
125,0.8000520567902332,46.8,9.2,6.4,269.4,86.4,80.2,102.8,0.3614575534951438
126,0.7892094066379572,48.4,8.6,9.8,266.6,85.0,78.4,103.2,0.3632127300255228
127,0.8178879301379105,42.2,9.6,9.4,267.8,85.2,79.8,102.8,0.3661045678953997
128,0.8276218290156411,40.2,8.2,8.6,267.6,87.2,79.8,100.6,0.3741285609552365
129,0.7934103329278962,48.6,5.4,9.2,268.0,86.0,80.4,101.6,0.366220593035079
130,0.816774226161859,43.2,6.4,9.2,271.8,87.8,80.4,103.6,0.36828418693863535
131,0.8130712204256977,44.2,8.2,9.6,274.6,85.6,81.6,107.4,0.37225671272243815
132,0.8163972754056077,44.4,10.4,8.6,276.0,85.4,82.4,108.2,0.36503178565858196
133,0.7922494833790683,48.6,8.0,10.0,274.2,86.4,79.8,108.0,0.35908575795640385
134,0.7969489068917849,50.0,9.0,8.6,276.2,88.8,80.8,106.6,0.35745813445575286
135,0.8125390624982932,45.8,10.2,7.6,275.8,86.6,83.0,106.2,0.37002527891224
136,0.8178075948034159,45.2,9.6,8.2,273.2,88.2,80.8,104.2,0.36512958569069653
137,0.8097797540762361,45.4,9.6,8.6,271.8,89.2,79.6,103.0,0.36301545199257274
138,0.8079858941298731,46.2,8.2,9.6,270.8,88.4,79.6,102.8,0.3533022401046802
139,0.7968179108101785,48.0,7.4,10.2,272.2,89.6,80.0,102.6,0.3621141436163783
140,0.8065278785195529,47.8,9.2,7.6,275.0,89.6,81.0,104.4,0.3712713021273587
141,0.800044661702372,49.4,7.4,8.4,273.4,91.2,79.0,103.2,0.37226172737065594
142,0.803140838271338,46.2,10.2,11.4,274.4,91.0,78.8,104.6,0.3724854025999882
143,0.7957381376973334,48.6,9.0,8.4,275.6,89.8,80.2,105.6,0.36531021337276837
144,0.8006367033606141,47.2,10.2,11.0,275.0,89.4,80.0,105.6,0.35503536224064375
145,0.7882848588861957,50.8,6.6,10.6,275.8,90.6,83.4,101.8,0.35355111911416914
146,0.8091693565992459,47.2,8.6,7.8,279.8,89.0,85.8,105.0,0.367001833496023
147,0.8268528883632497,43.8,8.2,7.4,279.0,88.2,85.0,105.8,0.37138154024021064
148,0.8317294828656625,42.8,8.4,9.2,278.2,89.2,82.8,106.2,0.37629592977169113
149,0.8317392670295337,44.0,9.4,10.2,279.0,90.2,81.8,107.0,0.3807528329517154
150,0.8232431172260597,44.2,8.0,7.0,279.8,88.6,84.4,106.8,0.38368956848974023
151,0.8253721206935477,43.0,9.2,8.0,278.8,87.4,83.0,108.4,0.39113070627329594
152,0.8175486196883774,45.6,8.0,9.8,277.6,90.2,79.6,107.8,0.3795301909931922
153,0.7925878404826574,51.6,8.8,9.2,279.4,88.6,81.0,109.8,0.37657986555632916
154,0.8007328710837186,49.0,11.2,10.2,279.8,91.0,79.2,109.6,0.37940991950757574
155,0.813746791095469,46.0,9.0,8.8,278.8,94.0,78.8,106.0,0.373139651128816
156,0.8004128178255427,49.2,6.4,9.2,278.6,93.6,79.8,105.2,0.3677941792590052
157,0.8138468832428565,44.6,9.8,9.0,281.4,92.4,81.6,107.4,0.3791186171051943
158,0.82654052900936,43.0,9.4,10.0,280.6,92.0,81.4,107.2,0.3842469335803075
159,0.8149540811033111,46.0,8.6,11.6,281.2,92.0,81.2,108.0,0.37789913528041535
160,0.7904737740826183,51.2,9.2,5.6,284.2,91.4,85.8,107.0,0.37086068725828075
161,0.7886294978295079,49.0,9.2,8.2,280.6,91.0,83.4,106.2,0.38044551528717674
162,0.8178779226170618,43.6,9.6,8.8,279.6,89.4,81.8,108.4,0.39077742154419287
163,0.7914081129188482,49.0,8.6,8.4,278.8,90.2,81.4,107.2,0.3805305694889901
164,0.7907995334731989,51.2,10.0,8.0,278.6,89.4,79.6,109.6,0.3728050418773019
165,0.7978518445500696,49.0,8.6,7.6,276.6,87.6,78.8,110.2,0.3804261365507944
166,0.8115909502240533,44.8,7.6,11.4,275.6,89.0,77.2,109.4,0.37926243665579884
167,0.792726785842466,50.4,8.2,8.2,279.4,90.6,79.6,109.2,0.3749810142780732
168,0.7913393268564899,50.6,8.6,8.4,279.4,91.4,77.8,110.2,0.3792593251274201
169,0.7873559569938853,50.8,9.6,9.2,279.2,92.8,74.6,111.8,0.3767072280050171
170,0.7880161634015809,50.0,10.2,7.2,278.8,91.4,78.2,109.2,0.382577703194009
171,0.8142650193906773,42.6,7.6,8.8,275.8,91.6,77.2,107.0,0.3877184858836575
172,0.817450200087311,43.8,8.4,9.8,277.0,90.6,77.2,109.2,0.389330724959684
173,0.8105283411197848,46.6,11.4,8.8,278.4,89.8,78.6,110.0,0.389857577269528
174,0.7988451564555703,47.6,8.4,8.4,275.8,87.6,79.4,108.8,0.38353009048767533
175,0.8125998762984121,44.0,11.0,8.4,275.8,86.4,80.2,109.2,0.37854746940572165
176,0.8096259703650837,43.8,10.6,9.0,273.2,88.6,77.2,107.4,0.372275602795498
177,0.8172297690340542,42.0,7.8,8.0,271.6,87.8,78.0,105.8,0.3758078225976429
178,0.8281294694621405,38.8,7.4,6.8,271.8,86.2,77.6,108.0,0.37476339765379896
179,0.8018250574492223,46.2,9.2,8.6,271.2,83.8,75.2,112.2,0.36940214767544793
180,0.8031220865949639,45.0,10.2,7.6,270.6,85.4,76.6,108.6,0.36709304920660124
181,0.7976224805442858,46.4,7.0,12.0,268.0,86.0,75.4,106.6,0.3578619773829148
182,0.7971458070564423,48.6,8.0,8.4,273.0,87.0,77.6,108.4,0.35962514956742403
183,0.8040117233677367,45.2,9.8,9.4,273.4,87.4,77.2,108.8,0.373039359699883
184,0.7998641837076587,44.8,9.2,10.2,273.0,87.8,78.2,107.0,0.3649533505655534
185,0.8063785283771704,44.2,10.2,7.8,274.0,88.6,80.0,105.4,0.36102915659724855
186,0.791620613051255,47.2,8.8,7.4,271.6,86.2,78.8,106.6,0.3575719318815259
187,0.7878814629983106,47.8,9.2,7.0,270.2,86.0,78.2,106.0,0.35635945458165696
188,0.7940552732419346,45.8,9.0,9.6,268.0,84.4,78.4,105.2,0.35475050908512384
189,0.7945776764976997,45.0,10.0,9.0,268.6,83.8,79.4,105.4,0.3553632387110109
190,0.8084278519697564,43.2,11.6,7.2,267.6,84.2,80.8,102.6,0.35414147132866625
191,0.7963116529190677,46.6,5.6,7.8,263.2,87.4,76.0,99.8,0.3436435015130811
192,0.7877676498108996,47.8,8.2,8.6,265.4,86.0,75.4,104.0,0.3485463775004187
193,0.7619159123804445,53.4,8.8,9.6,265.8,86.6,74.6,104.6,0.34227020257895624
194,0.7816571136228515,47.0,8.4,10.2,266.6,88.4,74.0,104.2,0.3486746301885429
195,0.7893202222851663,47.4,8.0,7.4,268.4,87.8,76.4,104.2,0.35405034518239825
196,0.7824202839333806,49.4,7.6,6.2,267.8,86.2,76.4,105.2,0.354799321962054
197,0.7794116934370252,49.2,11.4,7.8,266.4,85.2,75.6,105.6,0.35775486174930404
198,0.7659806834303419,48.0,8.2,9.6,262.8,88.0,73.8,101.0,0.3560339555393601
199,0.7646042671643911,50.4,8.4,7.8,264.2,88.4,74.4,101.4,0.35473452446927867
200,0.7916422799283634,46.0,9.2,8.2,263.6,88.0,75.0,100.6,0.36431148238572064
201,0.7944045297243034,45.2,7.2,7.8,262.6,83.8,75.4,103.4,0.35703331944930417
202,0.8108089172506224,43.0,8.8,9.6,263.2,84.0,74.6,104.6,0.36194041543041267
203,0.7946171149879386,46.0,9.8,7.4,264.0,84.2,74.6,105.2,0.3585670697351749
204,0.7877515116391385,47.6,8.8,7.2,261.6,84.2,71.8,105.6,0.3638823215493094
205,0.7939851036440873,43.6,8.4,9.2,260.0,83.8,71.6,104.6,0.36403174382332737
206,0.7949912891263473,42.6,8.4,7.4,260.8,82.6,74.6,103.6,0.3692427380506376
207,0.8020043561884069,40.8,9.0,7.4,259.8,83.4,74.2,102.2,0.37359910978229144
208,0.8028751950608821,39.4,8.0,7.6,258.2,83.4,72.0,102.8,0.37137502749966456
209,0.8012044745855553,41.4,6.8,10.2,257.8,82.2,71.8,103.8,0.3739145347628786
210,0.7717129683223536,47.6,8.6,8.4,261.2,83.2,73.8,104.2,0.3652279051890751
211,0.7740763850261057,45.2,7.6,7.0,261.0,83.2,74.4,103.4,0.3617067014571265
212,0.7745999168932771,45.4,12.0,8.6,260.4,84.2,71.8,104.4,0.36436696845480243
213,0.7641700645674465,47.0,8.4,8.4,257.0,82.0,73.0,102.0,0.361763095189413
214,0.7631118462411178,48.2,9.4,6.4,257.0,79.0,74.2,103.8,0.3529358678241262
215,0.7813557451596389,44.6,10.2,9.4,254.0,80.8,71.4,101.8,0.3612899318883894
216,0.7779238026509059,46.4,7.8,8.2,253.2,82.0,73.4,97.8,0.3577582284305315
217,0.7849490890087717,44.4,7.4,9.6,253.6,81.6,74.2,97.8,0.36656246069772275
218,0.7751189763904848,46.4,7.0,8.4,255.8,79.6,76.2,100.0,0.3626545005366493
219,0.7722126218957163,46.8,9.6,7.6,257.2,82.0,74.4,100.8,0.3579282483772549
220,0.7618873939924484,48.4,9.0,6.8,255.2,82.2,73.6,99.4,0.35466317689468685
221,0.7598840724859992,48.0,7.2,7.4,253.0,81.4,73.4,98.2,0.3533148605178467
222,0.7859268613769775,43.4,7.8,7.6,253.2,80.4,72.2,100.6,0.35273669020151577
223,0.7648202347950291,46.8,8.6,9.8,253.0,81.4,71.4,100.2,0.3474200587826403
224,0.762291819592377,48.2,9.6,8.2,254.2,80.6,74.8,98.8,0.3487018922904167
225,0.7702650892182511,46.2,10.2,6.2,252.8,80.8,73.6,98.4,0.3440427443604982
226,0.7780253312710949,45.4,7.4,7.8,248.8,81.6,71.6,95.6,0.34306000200452524
227,0.793111140066511,42.4,6.2,10.6,249.2,83.8,69.8,95.6,0.35816760632579964
228,0.7760547054884394,45.6,7.8,11.0,253.6,84.6,72.0,97.0,0.35555460893008295
229,0.7668796955971546,47.8,9.6,7.0,256.8,82.0,75.4,99.4,0.35001776698252773
